,指数代码,指数简称,指数@收盘价:不复权[20231122],指数@涨跌幅:前复权[20231122],指数@同花顺概念指数,market_code,code
219,885806.TI,华为概念,2296.269,-1.1892,同花顺概念指数,48,885806
220,885805.TI,芬太尼,1982.265,-0.6773,同花顺概念指数,48,885805
221,885802.TI,壳资源,2269.858,-0.5861,同花顺概念指数,48,885802
222,885800.TI,消费电子概念,1735.207,-1.5753,同花顺概念指数,48,885800
223,885798.TI,燃料乙醇,1092.818,0.5273,同花顺概念指数,48,885798
224,885797.TI,百度概念,1443.833,-0.4356,同花顺概念指数,48,885797
225,885796.TI,送转填权,1009.606,0.7098,同花顺概念指数,48,885796
226,885795.TI,国产航母,1608.492,-0.9611,同花顺概念指数,48,885795
227,885792.TI,赛马概念,789.316,-0.2696,同花顺概念指数,48,885792
228,885791.TI,知识产权保护,1514.284,2.5963,同花顺概念指数,48,885791
229,885790.TI,边缘计算,1770.598,-1.2031,同花顺概念指数,48,885790
230,885789.TI,宁德时代概念,1402.033,-1.8976,同花顺概念指数,48,885789
231,885788.TI,网络直播,794.415,0.2807,同花顺概念指数,48,885788
232,885787.TI,独角兽概念,1512.164,-0.8459,同花顺概念指数,48,885787
233,885786.TI,富士康概念,1555.826,-2.0451,同花顺概念指数,48,885786
234,885785.TI,小米概念,1319.471,-1.7078,同花顺概念指数,48,885785
235,885784.TI,新零售,992.181,-0.0977,同花顺概念指数,48,885784
236,885783.TI,工业互联网,1789.023,-1.4542,同花顺概念指数,48,885783
237,885782.TI,水泥概念,1043.049,-0.8845,同花顺概念指数,48,885782
238,885781.TI,石墨电极,985.104,-0.4787,同花顺概念指数,48,885781
239,885780.TI,啤酒概念,1375.603,0.1054,同花顺概念指数,48,885780
240,885779.TI,腾讯概念,972.461,-0.4231,同花顺概念指数,48,885779
241,885775.TI,燃料电池,1388.644,-1.8727,同花顺概念指数,48,885775
242,885774.TI,无线充电,1394.432,-1.8696,同花顺概念指数,48,885774
243,885772.TI,语音技术,1394.784,-1.4256,同花顺概念指数,48,885772
244,885771.TI,智能音箱,1628.701,-0.4319,同花顺概念指数,48,885771
245,885770.TI,智能物流,840.101,-1.149,同花顺概念指数,48,885770
246,885769.TI,细胞免疫治疗,973.569,-0.6593,同花顺概念指数,48,885769
247,885768.TI,无人零售,1046.131,-0.5435,同花顺概念指数,48,885768
248,885767.TI,互联网保险,816.422,-1.0842,同花顺概念指数,48,885767
249,885766.TI,智能交通,1096.956,-0.445,同花顺概念指数,48,885766
250,885765.TI,互联网医疗,1030.945,-0.4666,同花顺概念指数,48,885765
251,885764.TI,自由贸易港,813.926,-0.3167,同花顺概念指数,48,885764
252,885761.TI,超级品牌,1439.202,-0.6444,同花顺概念指数,48,885761
253,885760.TI,装配式建筑,817.104,-0.0996,同花顺概念指数,48,885760
254,885759.TI,人脸识别,998.426,-0.6355,同花顺概念指数,48,885759
255,885758.TI,租售同权,778.512,-0.5877,同花顺概念指数,48,885758
256,885757.TI,区块链,1289.829,-0.6842,同花顺概念指数,48,885757
257,885756.TI,芯片概念,2598.558,-1.6712,同花顺概念指数,48,885756
258,885753.TI,网约车,1083.994,-0.1941,同花顺概念指数,48,885753
259,885750.TI,特色小镇,443.522,0.1818,同花顺概念指数,48,885750
260,885749.TI,蚂蚁金服概念,1349.054,-0.6969,同花顺概念指数,48,885749
261,885748.TI,可燃冰,1047.212,-0.7653,同花顺概念指数,48,885748
262,885747.TI,共享单车,1070.388,-0.8127,同花顺概念指数,48,885747
263,885745.TI,MSCI概念,1237.484,-1.1195,同花顺概念指数,48,885745
264,885744.TI,雄安新区,968.429,-0.2332,同花顺概念指数,48,885744
265,885743.TI,军民融合,1041.617,-1.1362,同花顺概念指数,48,885743
266,885742.TI,摘帽,703.237,-1.3664,同花顺概念指数,48,885742
267,885741.TI,中字头股票,1319.758,-0.8451,同花顺概念指数,48,885741
268,885740.TI,债转股(AMC概念),882.345,-1.0483,同花顺概念指数,48,885740
269,885739.TI,股权转让,790.379,-0.6153,同花顺概念指数,48,885739
270,885738.TI,OLED,1699.78,-1.6367,同花顺概念指数,48,885738
271,885737.TI,电子竞技,411.115,0.5916,同花顺概念指数,48,885737
272,885736.TI,无人驾驶,1844.378,-1.6987,同花顺概念指数,48,885736
273,885734.TI,广东自贸区,1179.531,-0.3486,同花顺概念指数,48,885734
274,885733.TI,航运概念,1278.193,-0.7852,同花顺概念指数,48,885733
275,885730.TI,量子科技,1442.363,-1.3071,同花顺概念指数,48,885730
276,885729.TI,参股新三板,895.274,-0.6821,同花顺概念指数,48,885729
277,885728.TI,人工智能,962.641,-0.7124,同花顺概念指数,48,885728
278,885710.TI,锂电池,1221.0,-1.5893,同花顺概念指数,48,885710
279,885709.TI,虚拟现实,691.007,-0.5337,同花顺概念指数,48,885709
280,885706.TI,农机,822.737,-1.1384,同花顺概念指数,48,885706
281,885705.TI,乡村振兴,922.955,-0.1294,同花顺概念指数,48,885705
282,885703.TI,健康中国,812.501,-0.2378,同花顺概念指数,48,885703
283,885701.TI,杭州亚运会,974.475,-0.3859,同花顺概念指数,48,885701
284,885700.TI,军工,1499.496,-1.3946,同花顺概念指数,48,885700
285,885699.TI,ST板块,632.769,0.657,同花顺概念指数,48,885699
286,885697.TI,深圳国企改革,1569.027,4.3099,同花顺概念指数,48,885697
287,885694.TI,深股通,980.656,-1.1898,同花顺概念指数,48,885694
288,885692.TI,地下管网,1092.626,-0.2395,同花顺概念指数,48,885692
289,885690.TI,PPP概念,796.013,-0.2697,同花顺概念指数,48,885690
290,885675.TI,集成电路概念,2083.097,-1.6523,同花顺概念指数,48,885675
291,885663.TI,证金持股,920.769,-0.497,同花顺概念指数,48,885663
292,885662.TI,车联网,882.002,-1.2181,同花顺概念指数,48,885662
293,885661.TI,医药电商,1050.833,-0.0819,同花顺概念指数,48,885661
294,885657.TI,供应链金融,611.449,-0.3311,同花顺概念指数,48,885657
295,885652.TI,钛白粉概念,1477.026,-0.5559,同花顺概念指数,48,885652
296,885650.TI,碳纤维,1226.477,-1.6343,同花顺概念指数,48,885650
297,885647.TI,互联网彩票,773.832,0.4772,同花顺概念指数,48,885647
298,885642.TI,跨境电商,706.382,-0.3077,同花顺概念指数,48,885642
299,885641.TI,风电,817.32,-1.1242,同花顺概念指数,48,885641
300,885640.TI,草甘膦,1299.699,-0.5085,同花顺概念指数,48,885640
301,885633.TI,染料,986.602,-0.7616,同花顺概念指数,48,885633
302,885629.TI,农村电商,1625.912,0.1886,同花顺概念指数,48,885629
303,885623.TI,参股保险,1208.301,-0.4591,同花顺概念指数,48,885623
304,885620.TI,参股券商,1184.719,-0.372,同花顺概念指数,48,885620
305,885619.TI,工业4.0,1898.81,-1.5924,同花顺概念指数,48,885619
306,885617.TI,福建自贸区,1035.935,-1.2103,同花顺概念指数,48,885617
307,885615.TI,体育产业,844.252,-0.2738,同花顺概念指数,48,885615
308,885611.TI,阿里巴巴概念,1403.882,-0.6745,同花顺概念指数,48,885611
309,885603.TI,网络游戏,1354.063,-0.2653,同花顺概念指数,48,885603
310,885598.TI,新股与次新股,18309.532,2.3596,同花顺概念指数,48,885598
311,885595.TI,央企国企改革,2395.949,-0.9428,同花顺概念指数,48,885595
312,885591.TI,中韩自贸区,1856.904,-0.4994,同花顺概念指数,48,885591
313,885587.TI,举牌,2109.801,1.3858,同花顺概念指数,48,885587
314,885586.TI,职业教育,1384.491,-0.692,同花顺概念指数,48,885586
315,885580.TI,足球概念,1024.854,-0.172,同花顺概念指数,48,885580
316,885578.TI,基因测序,1908.975,-0.5056,同花顺概念指数,48,885578
317,885574.TI,卫星导航,2918.841,-1.7945,同花顺概念指数,48,885574
318,885573.TI,猪肉,2921.062,0.9163,同花顺概念指数,48,885573
319,885572.TI,水利,1887.006,-0.3955,同花顺概念指数,48,885572
320,885571.TI,核电,2298.452,-1.2079,同花顺概念指数,48,885571
321,885570.TI,期货概念,1525.829,-0.8148,同花顺概念指数,48,885570
322,885568.TI,国产软件,3770.742,-0.7905,同花顺概念指数,48,885568
323,885566.TI,大飞机,2407.681,-1.525,同花顺概念指数,48,885566
324,885564.TI,无人机,1936.86,-1.5761,同花顺概念指数,48,885564
325,885563.TI,节能环保,1798.831,-0.8793,同花顺概念指数,48,885563
326,885562.TI,高铁,2359.493,-1.4092,同花顺概念指数,48,885562
327,885560.TI,金改,2235.262,0.233,同花顺概念指数,48,885560
328,885556.TI,5G,3528.798,-1.5657,同花顺概念指数,48,885556
329,885555.TI,PM2.5,1207.02,-1.09,同花顺概念指数,48,885555
330,885552.TI,小金属概念,1895.827,-1.3973,同花顺概念指数,48,885552
331,885551.TI,氟化工概念,3127.457,-1.2411,同花顺概念指数,48,885551
332,885545.TI,汽车电子,3160.928,-1.7467,同花顺概念指数,48,885545
333,885544.TI,新材料概念,2806.453,-1.3274,同花顺概念指数,48,885544
334,885543.TI,家用电器,2643.462,-1.4418,同花顺概念指数,48,885543
335,885540.TI,三胎概念,1874.64,-0.6039,同花顺概念指数,48,885540
336,885539.TI,医疗器械概念,2440.748,-0.8465,同花顺概念指数,48,885539
337,885537.TI,3D打印,2534.879,-1.6115,同花顺概念指数,48,885537
338,885531.TI,光伏概念,2960.167,-1.3036,同花顺概念指数,48,885531
339,885530.TI,黄金概念,1870.431,-0.7327,同花顺概念指数,48,885530
340,885525.TI,白酒概念,8027.929,0.4563,同花顺概念指数,48,885525
341,885522.TI,养老概念,1953.315,-0.0848,同花顺概念指数,48,885522
342,885521.TI,粤港澳大湾区,1866.872,-0.0915,同花顺概念指数,48,885521
343,885520.TI,沪股通,1754.673,-1.0856,同花顺概念指数,48,885520
344,885517.TI,机器人概念,2489.455,-1.6726,同花顺概念指数,48,885517
345,885514.TI,京津冀一体化,1594.149,-0.7413,同花顺概念指数,48,885514
346,885508.TI,禽流感,2207.914,0.0532,同花顺概念指数,48,885508
347,885505.TI,生态农业,1404.64,-0.3801,同花顺概念指数,48,885505
348,885502.TI,冷链物流,1369.279,-0.4758,同花顺概念指数,48,885502
349,885500.TI,通用航空,1544.832,-1.4052,同花顺概念指数,48,885500
350,885497.TI,在线旅游,2232.909,1.384,同花顺概念指数,48,885497
351,885494.TI,一带一路,1688.756,-0.8803,同花顺概念指数,48,885494
352,885493.TI,上海国企改革,1403.465,0.0202,同花顺概念指数,48,885493
353,885490.TI,民营医院,1503.349,-0.3251,同花顺概念指数,48,885490
