id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,时间
4960089788387674	,Npdd0zc14,"发布了头条文章：《侥幸——静心观市231023》  
侥幸——静心观市231023
 ",['https://weibo.com/ttarticle/p/show?id=2309404960089789563412'],,,,2023-10-23T19:37:02,微博 weibo.com,7,0,0,,,2023-10-23 19:37:02
4960021098007022	,NpbqdxAZw,"发布了头条文章：《再一次。利弗莫尔：10.23复盘记录》 #A股# #外资流出不是A股下跌的关键原因#  
再一次。利弗莫尔：10.23复盘记录
 ","['https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23A%E8%82%A1%23', 'https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%A4%96%E8%B5%84%E6%B5%81%E5%87%BA%E4%B8%8D%E6%98%AFA%E8%82%A1%E4%B8%8B%E8%B7%8C%E7%9A%84%E5%85%B3%E9%94%AE%E5%8E%9F%E5%9B%A0%23&extparam=%23%E5%A4%96%E8%B5%84%E6%B5%81%E5%87%BA%E4%B8%8D%E6%98%AFA%E8%82%A1%E4%B8%8B%E8%B7%8C%E7%9A%84%E5%85%B3%E9%94%AE%E5%8E%9F%E5%9B%A0%23', 'https://weibo.com/ttarticle/p/show?id=2309404960021099446432']",,,,2023-10-23T15:04:05,微博 weibo.com,31,6,0,"A股,外资流出不是A股下跌的关键原因",,2023-10-23 15:04:05
4958913809091301	,NoICgC93T,"发布了头条文章：《止住。利弗莫尔：10.20复盘记录》 #沪指跌破3000点大关# #A股#  
止住。利弗莫尔：10.20复盘记录
 ","['https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B2%AA%E6%8C%87%E8%B7%8C%E7%A0%B43000%E7%82%B9%E5%A4%A7%E5%85%B3%23&extparam=%23%E6%B2%AA%E6%8C%87%E8%B7%8C%E7%A0%B43000%E7%82%B9%E5%A4%A7%E5%85%B3%23', 'https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23A%E8%82%A1%23', 'https://weibo.com/ttarticle/p/show?id=2309404958913811579119']",,,,2023-10-20T13:44:07,微博 weibo.com,32,6,0,"沪指跌破3000点大关,A股",,2023-10-20 13:44:07
4958636557731375	,NoBp5wrhB,"发布了头条文章：《准备——静心观市231019》  
准备——静心观市231019
 ",['https://weibo.com/ttarticle/p/show?id=2309404958636559695956'],,,,2023-10-19T19:22:25,微博 weibo.com,14,0,0,,,2023-10-19 19:22:25
4958570632448613	,NozGLagZL,"发布了头条文章：《三千点。利弗莫尔：10.19复盘记录》 #A股#  
三千点。利弗莫尔：10.19复盘记录
 ","['https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23A%E8%82%A1%23', 'https://weibo.com/ttarticle/p/show?id=2309404958570633625671']",,,,2023-10-19T15:00:27,微博 weibo.com,37,7,0,A股,,2023-10-19 15:00:27
4958208226492852	,Noqgerf5q,"发布了头条文章：《五百。利弗莫尔：10.18复盘记录》 #A股#  
五百。利弗莫尔：10.18复盘记录
 ","['https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23A%E8%82%A1%23', 'https://weibo.com/ttarticle/p/show?id=2309404958208224526420']",,,,2023-10-18T15:00:22,微博 weibo.com,46,7,0,A股,,2023-10-18 15:00:22
4958177440566423	,NopsA2nlR,今天整个早上上涨的个股数量只维持在500只左右，昨天进场的三只个股，今早冲高基本都在最高点卖出去，有一只还在持续冲高，但是逆势操作本来风险就很大，所以早盘的时候也没必要去期待跌多了就会反弹起来的想法。最近一直没有操作，也就昨天操作一次，只能选择较为稳的方向，昨天的情况是有种要反弹出现，但是这种基本都是某些资金硬拉起来的。下午会不会有什么资金硬拉，我无法保证，这种事情就像赌一样，没多大意义。趋势现在就是向下，逆势操作的风险较大。很多人会觉得，自己手上持有的个股能够逆势上涨，属于很不错的情况，但是你有没有想过一个问题，今天红盘的个股，明天开盘会不会低开，或者明天补跌，这种事情发生太多了。这种行情下，不亏就是赚了。,,,,,2023-10-18T12:58:03,微博网页版,32,5,0,,,2023-10-18 12:58:03
4957914206832166	,NoiC0sFme,"发布了头条文章：《选择——静心观市231017》  
选择——静心观市231017
 ",['https://weibo.com/ttarticle/p/show?id=2309404957914208272409'],,,,2023-10-17T19:32:03,微博 weibo.com,13,3,0,,,2023-10-17 19:32:03
4957846962701745	,NogRybkQx,"发布了头条文章：《再一次。利弗莫尔：10.17复盘记录》  
再一次。利弗莫尔：10.17复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404957846965190740'],,,,2023-10-17T15:04:51,微博 weibo.com,28,5,0,,,2023-10-17 15:04:51
4957551063206077	,No9aids2V,"发布了头条文章：《时间——静心观市231016》  
时间——静心观市231016
 ",['https://weibo.com/ttarticle/p/show?id=2309404957551065432244'],,,,2023-10-16T19:29:03,微博 weibo.com,18,1,0,,,2023-10-16 19:29:03
